,títulos,url,precios
1,Libro Gente Normal - Rooney Sally,https://www.librenta.com/MLA-874321991-libro-gente-normal-rooney-sally-_JM#position=1&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.099
2,1984 - George Orwell,https://www.librenta.com/MLA-730885745-1984-george-orwell-_JM#position=2&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,3.149
3,Libro Maus - Spiegelman Art,https://www.librenta.com/MLA-828978239-libro-maus-spiegelman-art-_JM#position=3&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.649
4,Las Cosas Que Perdimos En El Fuego - Mariana Enriquez,https://www.librenta.com/MLA-745258844-las-cosas-que-perdimos-en-el-fuego-mariana-enriquez-_JM#position=4&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,2.750
5,Rebelión En La Granja - George Orwell,https://www.librenta.com/MLA-735748008-rebelion-en-la-granja-george-orwell-_JM#position=5&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,2.099
6,Microalmas - Juan Solá - Prolog. Magalí Tajes - Sudestada,https://www.librenta.com/MLA-784026227-microalmas-juan-sola-prolog-magali-tajes-sudestada-_JM#position=6&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,1.990
7,Dune (las Crónicas De Dune 1) - Frank Herbert,https://www.librenta.com/MLA-742668376-dune-las-cronicas-de-dune-1-frank-herbert-_JM#position=7&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.349
8,Épica Urbana - Juan Solá,https://www.librenta.com/MLA-787065486-epica-urbana-juan-sola-_JM#position=8&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,1.990
9,"Sí, Si Es Contigo - Calle & Poché",https://www.librenta.com/MLA-784034237-si-si-es-contigo-calle-poche-_JM#position=9&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.099
10,"El Pozo De La Ascensión - Mistborn 2 - Sanderson, Brandon",https://www.librenta.com/MLA-741804583-el-pozo-de-la-ascension-mistborn-2-sanderson-brandon-_JM#position=10&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,6.599
11,Libro Mi Viaje Sin Ti - Alejandro Sequera,https://www.librenta.com/MLA-922653107-libro-mi-viaje-sin-ti-alejandro-sequera-_JM#position=11&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,3.099
12,Libro Hopeless - Colleen Hoover,https://www.librenta.com/MLA-926800575-libro-hopeless-colleen-hoover-_JM#position=12&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.641
13,El Guardián Entre El Centeno - Jerome David Salinger,https://www.librenta.com/MLA-797251664-el-guardian-entre-el-centeno-jerome-david-salinger-_JM#position=13&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,2.800
14,Ficciones - Borges Jorge Luis,https://www.librenta.com/MLA-809322517-ficciones-borges-jorge-luis-_JM#position=14&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,3.149
15,Siega ( Libro 1 El Arco De La Guadaña ) - Neal Shusterman,https://www.librenta.com/MLA-933963490-siega-libro-1-el-arco-de-la-guadana-neal-shusterman-_JM#position=15&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.108
16,Libro La Analfabeta - Kristof Agota,https://www.librenta.com/MLA-918963882-libro-la-analfabeta-kristof-agota-_JM#position=16&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,2.190
17,La Bailarina De Auschwitz - Edith Eger,https://www.librenta.com/MLA-731370552-la-bailarina-de-auschwitz-edith-eger-_JM#position=17&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.200
